0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
101000000027309,AGARWAL TOUGH GLASS IND L,0,1200,0.05,INE0P8X01016,0915-1530|1815-1915:,2026-07-30,,NSE:AGARWALTUF-SM,10,10,27309,AGARWALTUF,27309,-1.0,XX,101000000027309,,0,0.0
10100000001412,AGI GREENPAC LIMITED,0,1,0.05,INE415A01038,0915-1530|1815-1915:,2026-07-30,,NSE:AGI-EQ,10,10,1412,AGI,1412,-1.0,XX,10100000001412,,1,2.7
101000000024445,AGI INFRA LIMITED,0,1,0.05,INE976R01033,0915-1530|1815-1915:,2026-07-30,,NSE:AGIIL-EQ,10,10,24445,AGIIL,24445,-1.0,XX,101000000024445,,1,2.6
1010000000763784,ALLCARGO GLOBAL LIMITED,0,1,0.01,INE1YPB01014,0915-1530|1815-1915:,2026-07-30,,NSE:AGL-EQ,10,10,763784,AGL,763784,-1.0,XX,1010000000763784,,0,0.0
101000000010491,AGNI GREEN POWER LTD,0,2500,0.05,INE0LF301013,0915-1530|1815-1915:,2026-07-30,,NSE:AGNI-SM,10,10,10491,AGNI,10491,-1.0,XX,101000000010491,,0,0.0
101000000011076,AGRI-TECH (INDIA) LIMITED,0,1,0.01,INE449G01018,0915-1530|1815-1915:,2026-07-30,,NSE:AGRITECH-BE,10,10,11076,AGRITECH,11076,-1.0,XX,101000000011076,,0,0.0
10100000009046,AGRO PHOS INDIA LIMITED,0,1,0.01,INE740V01019,0915-1530|1815-1915:,2026-07-30,,NSE:AGROPHOS-EQ,10,10,9046,AGROPHOS,9046,-1.0,XX,10100000009046,,0,0.0
101000000015147,A G UNIVERSAL LIMITED,0,2000,0.05,INE0O6N01012,0915-1530|1815-1915:,2026-07-30,,NSE:AGUL-SM,10,10,15147,AGUL,15147,-1.0,XX,101000000015147,,0,0.0
1010000000758968,ANLON HEALTHCARE LIMITED,0,1,0.01,INE0Y8W01025,0915-1530|1815-1915:,2026-07-30,,NSE:AHCL-EQ,10,10,758968,AHCL,758968,-1.0,XX,1010000000758968,,1,2.0
101000000010770,AHIMSA INDUSTRIES LTD.,0,3000,0.05,INE136T01014,0915-1530|1815-1915:,2026-07-30,,NSE:AHIMSA-ST,10,10,10770,AHIMSA,10770,-1.0,XX,101000000010770,,0,0.0
10100000002004,AHLADA ENGINEERS LIMITED,0,1,0.01,INE00PV01013,0915-1530|1815-1915:,2026-07-30,,NSE:AHLADA-EQ,10,10,2004,AHLADA,2004,-1.0,XX,10100000002004,,0,0.0
101000000019438,ASIAN HOTELS (EAST) LTD,0,1,0.01,INE926K01017,0915-1530|1815-1915:,2026-07-30,,NSE:AHLEAST-EQ,10,10,19438,AHLEAST,19438,-1.0,XX,101000000019438,,0,0.0
101000000017833,AHLUWALIA CONT IND LTD,0,1,0.05,INE758C01029,0915-1530|1815-1915:,2026-07-30,,NSE:AHLUCONT-EQ,10,10,17833,AHLUCONT,17833,-1.0,XX,101000000017833,,1,2.0
101000000019370,ASIAN HOTELS (WEST) LTD,0,1,0.05,INE915K01010,0915-1530|1815-1915:,2026-07-30,,NSE:AHLWEST-BE,10,10,19370,AHLWEST,19370,-1.0,XX,101000000019370,,0,0.0
